X,Y,Employee_t
-8900373.899,4480453.311,cns04
-8900513.323,4480550.199,cns05
-8900434.434,4480415.351,cns07
-8900460.423,4480348.794,cns07
-8900524.46,4480380.489,cns08
-8900415.399,4480346.482,cns10
-8900454.601,4480509.491,cns14
-8900496.148,4480451.36,cns19
-8900198.457,4480545.612,cns04
-8900274.852,4480431.357,cns05
-8900390.92,4480454.857,cns05
-8900312.082,4480318.127,cns05
-8900350.991,4480395.604,cns05
-8900170.358,4480603.56,cns05
-8900238.582,4480478.758,cns05
-8900125.715,4480498.66,cns07
-8900233.388,4480637.213,cns07
-8900153.217,4480334.235,cns07
-8900336.803,4480552.764,cns08
-8900244.351,4480295.37,cns10
-8900082.947,4480347.175,cns12
-8900458.983,4480379.453,cns12
-8900456.932,4480533.047,cns12
-8900412.13,4480358.628,cns14
-8900478.512,4480687.278,cns14
-8900243.103,4480241.752,cns14
-8900265.324,4480521.674,cns14
-8900213.972,4480403.951,cns15
-8900324.95,4480482.303,cns15
-8900439.904,4480469.035,cns15
-8900393.344,4480598.731,cns16
-8900174.737,4480446.678,cns16
-8900288.482,4480656.224,cns16
-8900281.097,4480380.764,cns16
-8900140.341,4480384.051,cns16
-8900265.921,4480593.123,cns16
-8900405.056,4480669.216,cns16
-8900224.615,4480337.003,cns18
-8900336.395,4480250.939,cns18
-8900359.2,4480307.865,cns18
-8900351.567,4480622.673,cns18
-8900342.567,4480702.917,cns18
-8900519.363,4480417.657,cns19
-8900387.234,4480517.317,cns20
-8900470.459,4480616.282,cns20
-8899986.434,4481952.721,cns03
-8900198.062,4481587.856,cns04
-8900145.858,4481766.568,cns04
-8900007.29,4481759.869,cns05
-8900154.974,4481697.534,cns05
-8900085.04,4481812.981,cns05
-8900103.651,4481940.162,cns05
-8899947.165,4481721.265,cns05
-8900188.088,4481643.821,cns05
-8900267.603,4481806.186,cns05
-8900195.631,4482002.255,cns05
-8900100.805,4481684.869,cns07
-8900128.448,4481618.981,cns07
-8900301.936,4481983.503,cns07
-8900367.482,4481883.312,cns07
-8900133.426,4481856.873,cns07
-8900150.777,4481946.636,cns08
-8900261.989,4481863.887,cns10
-8900055.496,4481934.398,cns12
-8900337.406,4481678.285,cns13
-8900133.982,4482071.83,cns14
-8900247.678,4482151.341,cns14
-8900059.866,4481603.672,cns15
-8900136.156,4482000.412,cns15
-8900064.941,4481744.415,cns15
-8900196.018,4481891.333,cns15
-8900064.767,4481997.437,cns15
-8900274.427,4481736.043,cns15
-8900210.213,4481714.49,cns16
-8900185.771,4482112.469,cns16
-8900356.079,4481934.184,cns16
-8900016.085,4481830.777,cns16
-8900037.255,4482063.38,cns16
-8899876.768,4481709.032,cns16
-8900417.33,4481959.2,cns16
-8900309.105,4481917.602,cns16
-8900240.247,4481947.449,cns16
-8900344.625,4481749.371,cns16
-8900070.826,4481876.697,cns17
-8900267.081,4481671.23,cns18
-8900211.126,4481756.436,cns18
-8900181.373,4481821.398,cns18
-8900307.19,4482029.907,cns18
-8900343.583,4481797.044,cns19
-8900235.734,4482061.391,cns19
-8899982.93,4481881.674,cns20
-8900377.755,4482018.691,cns20
-8900324.856,4481737.124,cns01
-8900405.831,4481728.891,cns07
-8900451.349,4481673.814,cns08
-8900449.164,4481534.26,cns11
-8900393.61,4481518.923,cns14
-8900378.223,4481599.652,cns14
-8900284.041,4481656.317,cns14
-8900330.399,4481601.946,cns15
-8900498.449,4481528.805,cns15
-8900501.372,4481724.834,cns16
-8900434.922,4481604.277,cns16
-8900506.582,4481628.486,cns16
-8900543.616,4481567.382,cns16
-8900456.475,4481780.417,cns16
-8900550.506,4481717.151,cns16
-8900596.858,4481807.794,cns16
-8900365.442,4481669.951,cns16
-8900598.913,4481579.526,cns18
-8900450.817,4481475.546,cns18
-8900525.413,4481808.725,cns19
-8900046.095,4481430.548,cns05
-8900104.795,4481389.809,cns05
-8900220.707,4481204.625,cns07
-8900192.755,4481461.378,cns07
-8900178.514,4481146.962,cns07
-8900294.718,4481184.137,cns07
-8900146.419,4481223.362,cns08
-8900125.433,4481313.556,cns08
-8900172.587,4481367.238,cns09
-8900318.686,4481304.675,cns12
-8900227.82,4481321.91,cns15
-8900222.611,4481418.258,cns16
-8900178.722,4481270,cns16
-8900266.922,4481474.31,cns16
-8900265.902,4481363.746,cns16
-8900264.855,4481260.806,cns16
-8900232.198,4481536.756,cns18
-8900324.593,4481241.615,cns18
-8900081.319,4481480.79,cns18
-8900061.597,4481332.895,cns19
-8900145.184,4481448.749,cns20
-8900266.604,4481362.153,cns04
-8900347.579,4481353.921,cns05
-8900441.216,4481136.231,cns05
-8900442.474,4481350.489,cns05
-8900399.023,4481078.568,cns05
-8900399.231,4481201.606,cns06
-8900267.745,4481235.419,cns07
-8900566.408,4481354.842,cns07
-8900515.227,4481115.742,cns07
-8900505.687,4481317.182,cns08
-8900343.122,4481406.599,cns09
-8900399.967,4481402.509,cns09
-8900366.928,4481154.968,cns13
-8900485.364,4481192.412,cns14
-8900593.304,4481290.204,cns14
-8900203.172,4481204.83,cns14
-8900448.329,4481253.516,cns16
-8900511.012,4481274.722,cns16
-8900509.781,4481395.213,cns16
-8900306.729,4481295.299,cns16
-8900345.942,4481245.162,cns16
-8900393.096,4481298.844,cns18
-8900444.199,4481458.623,cns18
-8900150.097,4482359.462,cns04
-8900191.597,4482252.633,cns04
-8900272.346,4482357.512,cns05
-8900210.632,4482321.503,cns07
-8900230.799,4482415.642,cns12
-8900236.621,4482254.945,cns12
-8900289.521,4482456.35,cns16
-8900468.746,4481447.25,cns03
-8900529.28,4481409.291,cns04
-8900628.438,4481452.627,cns06
-8900709.336,4481420.437,cns07
-8900674.789,4481543.27,cns08
-8900603.344,4481544.201,cns09
-8900520.719,4481249.272,cns14
-8900492.088,4481348.282,cns15
-8900534.407,4481515.894,cns15
-8900579.304,4481460.31,cns16
-8900647.196,4481385.169,cns16
-8900580.518,4481359.491,cns16
-8900446.515,4481403.313,cns18
-8900544.794,4481297.611,cns18
-8900596.809,4481260.124,cns20
-8899992.754,4481781.438,cns04
-8900162.636,4481928.825,cns05
-8900230.264,4481805.396,cns05
-8900174.479,4481672.8,cns05
-8900054.324,4481841.147,cns05
-8900004.058,4481848.052,cns05
-8900029.389,4481519.143,cns05
-8899958.885,4481691.415,cns05
-8900118.439,4481872.683,cns05
-8900166.627,4481573.492,cns05
-8899988.554,4481563.931,cns06
