 industry sector,Work Method,,,,
4,2,,,,
12,1,,,,
4,1,,,,
20,2,,1,WFH (Worker From Home),205
16,2,,2,WOS (Worker On Site),645
11,2,,,,
7,2,,,,
13,1,,,,
15,2,,,,
5,1,,,,
12,2,,,,
5,1,,,,
9,1,,,,
16,2,,,,
15,1,,,,
4,2,,,,
12,1,,,,
12,2,,,,
15,2,,,,
16,2,,,,
9,2,,,,
12,1,,,,
12,2,,,,
12,2,,,,
12,2,,,,
5,2,,,,
8,2,,,,
5,2,,,,
10,1,,,,
20,2,,,,
12,1,,,,
16,2,,,,
12,1,,,,
9,1,,,,
5,2,,,,
10,2,,,,
16,2,,,,
16,2,,,,
15,2,,,,
6,1,,,,
10,1,,,,
15,2,,,,
12,1,,,,
12,2,,,,
3,2,,,,
18,2,,,,
12,2,,,,
4,2,,,,
5,2,,,,
4,1,,,,
15,1,,,,
19,2,,,,
19,2,,,,
19,2,,,,
7,2,,,,
18,1,,,,
7,2,,,,
7,2,,,,
15,1,,,,
5,1,,,,
16,2,,,,
15,1,,,,
15,2,,,,
16,2,,,,
16,1,,,,
15,2,,,,
6,2,,,,
7,2,,,,
4,2,,,,
5,1,,,,
5,2,,,,
10,2,,,,
5,1,,,,
7,2,,,,
5,2,,,,
9,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
5,2,,,,
4,2,,,,
8,1,,,,
4,2,,,,
5,1,,,,
5,1,,,,
5,1,,,,
5,1,,,,
1,2,,,,
12,2,,,,
1,2,,,,
2,1,,,,
2,1,,,,
1,2,,,,
12,2,,,,
12,2,,,,
2,1,,,,
2,1,,,,
1,2,,,,
2,1,,,,
13,2,,,,
12,2,,,,
1,2,,,,
7,1,,,,
7,1,,,,
7,1,,,,
7,1,,,,
12,2,,,,
12,2,,,,
12,2,,,,
13,2,,,,
12,2,,,,
13,2,,,,
12,2,,,,
13,2,,,,
13,2,,,,
12,2,,,,
13,2,,,,
7,1,,,,
18,2,,,,
18,2,,,,
18,2,,,,
18,2,,,,
12,2,,,,
18,2,,,,
18,2,,,,
1,2,,,,
8,2,,,,
15,2,,,,
8,1,,,,
8,1,,,,
8,1,,,,
8,1,,,,
8,1,,,,
8,1,,,,
5,2,,,,
8,1,,,,
8,1,,,,
8,1,,,,
8,1,,,,
8,1,,,,
7,1,,,,
7,1,,,,
7,1,,,,
7,1,,,,
7,1,,,,
7,1,,,,
9,1,,,,
9,1,,,,
9,1,,,,
9,1,,,,
9,1,,,,
